No,Institution_name,Item_desp,Supplier_name,Service_desp,Unit_price,Quantity,UOM,Date_order,Order_amount,Date_payments,Payments,pay_num,order_num
7348,Western Cape - Health,Security,DELTA CORPORATE SECURITY SERVICES,0,"34,052.96",1,0,24/06/2021,"R34,052.96",7/6/2021,"R34,053",34053,34052.96
7349,Western Cape - Health,Security,DELTA CORPORATE SECURITY SERVICES,0,"34,052.96",1,0,24/06/2021,"R34,052.96",18/08/2021,"R34,053",34053,34052.96
7350,Western Cape - Health,Telecommunication,PRO SYNERGY ENTERPRISES,0,"21,220.00",28,0,24/06/2021,"R594,160.00",30/07/2021,"R594,160",594160,594160
7353,Gauteng - Health,Apron plastic full body white single use,FUTURE ADVERTISING AND MARKETING,0,4.03,3000,Each,24/06/2020,"R12,090.00",20/07/2020,"R12,090",12090,12090
7356,Gauteng - Health,FOGGING MACHINE3,ETHAN MEDICAL,0,"14,317.00",30,Each,24/06/2020,"R429,510.00",,"R429,510",429510,429510
7361,Western Cape - Health,Human resources-services,DOEPA TRADING 36,0,350,1,0,24/06/2020,R350.00,23/09/2021,R350,350,350
7362,Eastern Cape Public Works,Infrastructure,Phalela Construction Pty Ltd,Upgrade of Health Facilitiy-  St Elizabeth Phase 2,"48,766.90",10,Other UOM,24/06/2020,"R487,669.00",16/07/2020,"R411,684",411684,487669
7363,Eastern Cape Public Works,Infrastructure,Zamatita Construction & Projects,Upgrade of Health Facilitiy-Bambisana Hospital Phase 2,"44,816.00",10,Other UOM,24/06/2020,"R448,160.00",25/06/2020,"R436,956",436956,448160
7364,Eastern Cape Public Works,Infrastructure,Antivirus Trading,Upgrade of Health Facilitiy-Ngqamakhwe CMH,"143,246.40",1,Other UOM,24/06/2020,"R143,246.40",25/06/2020,"R140,071",140071,143246.4
7378,Eastern Cape - South African Social Security Agency,Other,Royi Empire Holdings(Pty)Ltd,Duct tape and gloves,0,14,Each,24/06/2020,"R3,920.00",7/7/2020,"R3,920",3920,3920
7379,Eastern Cape - South African Social Security Agency,Other,Regent Corporate Administrators 65 CC,Perspex Desk Screens,0,0,Each,24/06/2020,"R457,500.00",27/08/2020,"R457,500",457500,457500
7383,Kwazulu Natal - Health,Other,Siyakhanda Medical,"Cabinet, Medicine","13,459.47",10,Each,24/06/2020,"R134,594.70",10/5/2020,"R134,595",134595,134594.7
7385,Mpumalanga - Health,Other,Class Three Medical Solution,HB meter degital,"6,500.00",167,Other UOM,24/06/2020,"R1,248,325.00",30/10/2020,R0,0,1248325
7386,Mpumalanga - Health,Other,Class Three Medical Solution,HB Meter digital,"3,250.00",167,Other UOM,24/06/2020,"R624,162.50",30/10/2020,"R624,163",624163,624162.5
7387,Mpumalanga - Health,Other,EAST COAST MEDICAL NORTHERN REGI,Incubator transport,"94,300.00",33,Each,24/06/2020,"R3,111,900.00",28/10/2020,"R3,111,900",3111900,3111900
7388,Public Works,Other,Tshidime Trading,Hiring (Supply and delivery of Mobile Toilets and Bert Showers - Refugees accommodation),"203,280.00",2 x 10 Berth showers,Other UOM,24/06/2020,"R203,280.00",21/07/2020,"R203,280",203280,203280
7390,Western Cape - Health,Other,EAST COAST MEDICAL SOUTHERN REGIONS,Asset,"15,428.60",2,0,24/06/2020,"R30,857.19",23/12/2020,"R30,857",30857,30857.19
7391,Western Cape - Health,Other,BECTON DICKINSON,Equipment,"7,314.00",50,EA,24/06/2020,"R365,700.00",22/07/2020,"R365,700",365700,365700
7392,Western Cape - Health,Other,BECTON DICKINSON,Service,"71,806.00",1,0,24/06/2020,"R71,806.00",23/12/2020,"R71,806",71806,71806
7393,Western Cape - Health,Other,EAST COAST MEDICAL SOUTHERN REGIONS,Stationery,"15,428.60",2,0,24/06/2020,"R30,857.19",23/12/2020,"R30,857",30857,30857.19
7414,Defence,PPE001 Surgical masks for patients,Milani International,0,18,60 000,Each,24/06/2020,"R29,221.00",14/07/2020,"R29,221",29221,29221
7499,Western Cape - Health,PPE021 Sanitising of buildings,DOEPA TRADING 36,0,15,900,0,24/06/2020,"R13,500.00",23/09/2021,"R13,500",13500,13500
7511,Western Cape - Health,Telecommunication,DOEPA TRADING 36,.,700,1,EA,24/06/2020,R700.00,15/01/2021,R700,700,700
7514,Western Cape - Health,Infrastructure,MAX ARCUS AND SON,0,232.3,15,0,24/05/2021,"R3,484.50",6/2/2021,"R3,485",3485,3484.5
7515,Health,PPE000 Other PPEs,PEGLERAE HOSPITAL,PAYMENT FOR SERVICES RENDERED FOR K BADIWANG,0,0,0,24/05/2021,"R2,756.70",8/2/2021,"R2,757",2757,2756.7
7516,Health,PPE000 Other PPEs,PEGLERAE HOSPITAL,PAYMENT FOR SERVICES RENDERED FOR T MOTLHOANA,0,0,0,24/05/2021,"R58,281.76",13/07/2021,"R58,282",58282,58281.76
7528,Western Cape - Education,PPE021 Sanitising of buildings,ZEBRA MARKETING,0,2,1500,per m2,24/05/2021,R0.00,28/05/2021,"R3,000",3000,0
7534,Gauteng - Health,Body bag disposable plastic medium,MULTISURGE,0,35.41,300,Each,24/04/2020,"R10,623.00",22/05/2020,R0,0,10623
7535,Gauteng - Health,Body bag disposable plastic xx-large,MULTISURGE,0,50.36,200,Each,24/04/2020,"R10,072.00",22/05/2020,R0,0,10072
7536,Gauteng - Health,Body bags disposable beige large FPS,MULTISURGE,0,41.39,300,Each,24/04/2020,"R12,417.00",22/05/2020,R0,0,12417
7544,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa  Food parcels,0,"2,400.00",100,Each,24/04/2020,"R240,000.00",22/05/2020,"R240,000",240000,240000
7545,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa  Food parcels,0,"2,400.00",106,Each,24/04/2020,"R254,400.00",22/05/2020,"R254,400",254400,254400
7546,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",119,Each,24/04/2020,"R285,600.00",17/06/2020,"R285,600",285600,285600
7547,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa  Food parcels,0,"4,800.00",121,Each,24/04/2020,"R580,800.00",22/05/2020,"R580,800",580800,580800
7548,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",122,Each,24/04/2020,"R292,800.00",19/05/2020,"R292,800",292800,292800
7549,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa  Food parcels,0,"2,400.00",155,Each,24/04/2020,"R372,000.00",22/05/2020,"R372,000",372000,372000
7550,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",20,Each,24/04/2020,"R48,000.00",22/05/2020,"R48,000",48000,48000
7551,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa  Food parcels,0,"2,400.00",200,Each,24/04/2020,"R480,000.00",22/05/2020,"R480,000",480000,480000
7552,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",205,Each,24/04/2020,"R492,000.00",5/7/2020,"R492,000",492000,492000
7553,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa  Food parcels,0,"2,400.00",207,Each,24/04/2020,"R496,800.00",22/05/2020,"R496,800",496800,496800
7554,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",212,Each,24/04/2020,"R508,800.00",5/12/2020,"R508,800",508800,508800
7555,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa  Food parcels,0,"2,400.00",218,Each,24/04/2020,"R523,200.00",22/05/2020,"R523,200",523200,523200
7556,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",227,Each,24/04/2020,"R544,800.00",5/7/2020,"R544,800",544800,544800
7557,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa  Food parcels,0,"2,400.00",23,Each,24/04/2020,"R55,200.00",22/05/2020,"R55,200",55200,55200
7558,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",231,Each,24/04/2020,"R554,400.00",5/7/2020,"R554,400",554400,554400
7559,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",239,Each,24/04/2020,"R573,600.00",5/7/2020,"R573,600",573600,573600
7560,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",252,Each,24/04/2020,"R604,800.00",22/05/2020,"R604,800",604800,604800
7561,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",266,Each,24/04/2020,"R638,400.00",5/12/2020,"R638,400",638400,638400
7562,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa  Food parcels,0,"2,400.00",277,Each,24/04/2020,"R664,800.00",22/05/2020,"R664,800",664800,664800
7563,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa  Food parcels,0,"2,400.00",302,Each,24/04/2020,"R724,800.00",22/05/2020,"R724,800",724800,724800
7564,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",308,Each,24/04/2020,"R739,200.00",5/12/2020,"R739,200",739200,739200
7565,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",338,Each,24/04/2020,"R811,200.00",5/12/2020,"R811,200",811200,811200
7566,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",36,Each,24/04/2020,"R86,400.00",15/05/2020,"R86,400",86400,86400
7567,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa  Food parcels,0,"2,400.00",41,Each,24/04/2020,"R98,400.00",22/05/2020,"R98,400",98400,98400
7568,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",42,Each,24/04/2020,"R100,800.00",19/05/2020,"R100,800",100800,100800
7569,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",50,Each,24/04/2020,"R120,000.00",5/11/2020,"R120,000",120000,120000
7570,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa  Food parcels,0,"2,400.00",62,Each,24/04/2020,"R148,800.00",22/05/2020,"R148,800",148800,148800
7571,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",77,Each,24/04/2020,"R184,800.00",5/8/2020,"R184,800",184800,184800
7572,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",83,Each,24/04/2020,"R199,200.00",15/05/2020,"R199,200",199200,199200
7573,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",96,Each,24/04/2020,"R230,400.00",5/7/2020,"R230,400",230400,230400
7575,Gauteng - Health,Gown isolation large 116x56x167x5x38cm,LOGAN MEDICAL AND SURGICAL,0,34.5,5000,Each,24/04/2020,"R172,500.00",,R0,0,172500
7576,Gauteng - Health,Gown isolation x-large 127x62x172x5x39cm,LOGAN MEDICAL AND SURGICAL,0,34.5,5000,Each,24/04/2020,"R172,500.00",,R0,0,172500
7577,Gauteng - Health,Gown surgical xx-large 140x165cm,NKHANE PROJECTS AND SUPPLY,0,172.5,750000,Each,24/04/2020,"R129,375,000.00",,R0,0,129375000
7578,Gauteng - Infrastructure Development,Infrastructure,Kamoso Projects,Emergency HVF and  Airborne disease separation for ward 27 at CHBAH,0,0,Other UOM,24/04/2020,"R4,877,823.00",7/9/2020,"R4,877,823",4877823,4877823
7579,Gauteng - Infrastructure Development,Infrastructure,Taroworx Pty Ltd,Supply and installation of air condition for Covid-19 tents at CHBAH,0,0,Other UOM,24/04/2020,"R11,100,000.00",19/11/2020,"R11,086,351",11086351,11100000
7580,Kwazulu Natal - Health,Infrastructure,Coastlands Durban (Pty) Ltd,Coastlands Hotel for Quarantine site - Quarantine Site Accommodation,"7,436,860.71",1,per m2,24/04/2020,"R7,436,860.71",23/07/2020,"R5,204,150",5204150,7436860.71
7581,Kwazulu Natal - Health,Infrastructure,Sterilizer Technologies,Various Hospitals - Rebuild 10X400L Autoclaves For COVID-19 Sites In KZN Health Facilities,"2,389,395.83",1,per m2,24/04/2020,"R2,389,395.83",30/09/2020,"R2,102,822",2102822,2389395.83
7582,Gauteng - Health,Mask face surgical typ1 fluid single use,NKHANE PROJECTS AND SUPPLY,0,20.77,200000,Other UOM,24/04/2020,"R4,154,000.00",,R0,0,4154000
7583,Gauteng - Health,Mask surgical type N95;1 s,NKHANE PROJECTS AND SUPPLY,0,74.75,250000,Other UOM,24/04/2020,"R18,687,500.00",,R0,0,18687500
7584,Gauteng - Health,Mask surgical type N95;1 s,MAPONYA MEDICAL SOLUTIONS,0,57.99,500000,Other UOM,24/04/2020,"R28,995,000.00",,R0,0,28995000
7603,Mpumalanga - Health,Other,SSEM Mthembu Medical,Ventilator,"521,723.02",12,Other UOM,24/04/2020,"R6,260,676.22",3/12/2021,"R6,260,676",6260676,6260676.22
7608,Unemployment Insurance Fund,Other,Gen 2,Covid-Ters Sustem CR,"2,165,742.76",1,Each,24/04/2020,"R2,165,742.76",,"R2,165,743",2165743,2165742.76
7616,Kwazulu Natal - Health,PPE001 Surgical masks for patients,AKSS Projects,0,11.75,200000,Each,24/04/2020,"R2,350,000.00",8/11/2020,"R2,350,000",2350000,2350000
7617,Kwazulu Natal - Health,PPE001 Surgical masks for patients,Cargro Investment Holdings,0,11.68,200000,Each,24/04/2020,"R2,336,000.00",8/11/2020,"R2,336,000",2336000,2336000
7618,Kwazulu Natal - Health,PPE001 Surgical masks for patients,Coffee Creative Studio,0,11.75,200000,Each,24/04/2020,"R2,350,000.00",26/08/2020,"R2,350,000",2350000,2350000
7640,Defence,PPE015 Non-sterile examination gloves,Beetsi General Trading,0,350,2400,Box of 100 gloves,24/04/2020,"R840,000.00",6/5/2020,"R840,000",840000,840000
7642,Kwazulu Natal - Health,PPE015 Non-sterile examination gloves,Sebenzani Trading 622 CC,0,183,15000,Box of 100,24/04/2020,"R2,745,000.00",17/08/2020,"R2,745,000",2745000,2745000
7643,Kwazulu Natal - Health,PPE015 Non-sterile examination gloves,Sebenzani Trading 622 CC,0,183,20000,Box of 100,24/04/2020,"R3,660,000.00",8/6/2020,"R3,660,000",3660000,3660000
7644,Kwazulu Natal - Health,PPE015 Non-sterile examination gloves,Sebenzani Trading 622 CC,0,183,5000,Box of 100,24/04/2020,"R915,000.00",8/7/2020,"R915,000",915000,915000
7651,Kwazulu Natal - Health,PPE016 Sterile examination or surgical gloves,SA Health Protecting Services CC,0,2.43,100000,Per pair,24/04/2020,"R242,720.00",28/04/2020,"R242,720",242720,242720
7653,Eastern Cape - South African Social Security Agency,PPE017 2 Layer fabric cloth masks,Kaizen Primary Co-op,0,0,0,Each,24/04/2020,"R3,960.00",5/6/2020,"R3,960",3960,3960
7680,Unemployment Insurance Fund,Other,Xabacha,COVID-Ters Audit,"1,882,888.00",1,Each,24/03/2021,"R1,882,888.00",19/03/2021,"R1,882,888",1882888,1882888
7691,Mpumalanga - Health,PPE015 Non-sterile examination gloves,Promed Technologies,0,181.59,4000,Box of 100,24/03/2021,"R1,452,716.80",8/3/2021,"R726,358",726358,1452716.8
7692,Mpumalanga - Health,PPE016 Sterile examination or surgical gloves,EVERGREEN LATEX,0,280.89,200,Box of 50,24/03/2021,"R916,627.28",26/08/2021,"R56,178",56178,916627.28
7707,Public Works,Cleaning Services and PPE,JOD Consulting,COVID 19: PPE:purchase of hand sanitizers,0,5,1litre Hand Saniters,24/03/2020,"R3,500.00",25/03/2020,R0,0,3500
7720,Western Cape - Health,Human resources-services,IMMPLOY RECRUITMENT AGENCY,.,"31,122.42",1,EA,24/03/2020,"R31,122.42",13/01/2021,"R31,122",31122,31122.42
7721,Western Cape - Health,Human resources-services,IMMPLOY RECRUITMENT AGENCY,0,"5,859.86",1,0,24/03/2020,"R5,859.86",12/9/2020,"R5,860",5860,5859.86
7735,Kwazulu Natal - Health,PPE000 Other PPEs,O and M Halyard South Africa,Scrub Suits,51.91,4320,Other UOM,24/03/2020,"R224,232.30",,"R87,089",87089,224232.3
7745,Kwazulu Natal - Health,PPE002 Surgical masks for healt care workers,Iphakhade Trading (Pty) Ltd,0,12.5,100000,Each,24/03/2020,"R1,250,000.00",,"R1,250,000",1250000,1250000
7747,Kwazulu Natal - Health,PPE003 Respirator mask,Iphakhade Trading (Pty) Ltd,0,57,10000,Each,24/03/2020,"R570,000.00",,"R570,000",570000,570000
7748,Mpumalanga - Health,PPE008 Surgical gowns,Promed Technologies,0,23.14,2000,Each,24/03/2020,"R46,289.80",20/04/2020,"R46,288",46288,46289.8
7755,Kwazulu Natal - Health,PPE015 Non-sterile examination gloves,Safarmex Medical Logistics,0,160.11,10000,BOX,24/03/2020,"R1,601,135.00",,R0,0,1601135
7756,Kwazulu Natal - Health,PPE015 Non-sterile examination gloves,Safarmex Medical Logistics,0,91.41,5000,BOX,24/03/2020,"R457,067.50",,R0,0,457067.5
7761,Kwazulu Natal - Health,PPE016 Sterile examination or surgical gloves,O and M Halyard South Africa,0,212.8,800,BOX,24/03/2020,"R170,236.80",,R0,0,170236.8
7778,Eastern Cape - South African Social Security Agency,PPE020 Hand sanitisers and disinfectants,Oyisii Enginering & Projects,0,0,0,0,24/03/2020,"R3,969.00",20/04/2020,"R3,969",3969,3969
7792,Kwazulu Natal - Health,PPE020 Hand sanitisers and disinfectants,Iphakhade Trading (Pty) Ltd,0,91,40000,Each,24/03/2020,"R3,640,000.00",,R0,0,3640000
7794,Mpumalanga - Health,PPE020 Hand sanitisers and disinfectants,CLINIPRO,0,143.98,1000,Each,24/03/2020,"R77,493,007.28",7/1/2020,"R143,980",143980,77493007.28
7795,Mpumalanga - Health,PPE020 Hand sanitisers and disinfectants,Barrs Pharmaceuticals Industries,0,14.44,10000,500ml,24/03/2020,"R217,099.23",2/8/2020,"R144,440",144440,217099.23
7796,Mpumalanga - Health,PPE020 Hand sanitisers and disinfectants,CLINIPRO,0,143,14,Each,24/03/2020,"R77,493,007.28",7/1/2020,"R2,016",2016,77493007.28
7797,Mpumalanga - Health,PPE020 Hand sanitisers and disinfectants,CLINIPRO,0,573.96,1500,Each,24/03/2020,"R309,972,029.12",7/1/2020,"R863,880",863880,309972029.1
7798,Mpumalanga - Health,PPE020 Hand sanitisers and disinfectants,CLINIPRO,0,138.01,168,Each,24/03/2020,"R77,493,007.28",7/1/2020,"R23,186",23186,77493007.28
7799,Mpumalanga - Health,PPE020 Hand sanitisers and disinfectants,CLINIPRO,0,143.98,6000,Each,24/03/2020,"R77,493,007.28",7/1/2020,"R863,880",863880,77493007.28
7800,Mpumalanga - Health,PPE020 Hand sanitisers and disinfectants,CLINIPRO,0,170.66,696,Each,24/03/2020,"R77,493,007.28",7/1/2020,"R118,779",118779,77493007.28
7803,Public Works,PPE021 Sanitising of buildings,Hornes Projects & Enterprises,Supply & Installation of Auto Handsanitizer dispenser,57.5,1000,Other UOM,24/03/2020,"R57,500.00",,R0,0,57500
7821,Defence,Walk in Scanners,Community Investment Technology (CIT),0,"138,000.00",60,Each,24/03/2020,"R8,280,000.00",6/4/2020,"R8,280,000",8280000,8280000
7822,Gauteng - Health,0,B BRAUN MEDICAL,0,0,5159,0,24/02/2021,"R99,807.00",24/06/2021,"R99,807",99807,99807
7823,Public Works,0,"Deejoy Construction, Cleaning and Distribution",QUOTATION : 10,0,0,0,24/02/2021,"R11,386.73",24/02/2021,"R11,387",11387,11386.73
7824,Public Works,"60% FOAM SOAP REFILL WITH PUMP IN A HYGIENICALLY SEALED PACKAGE FOR BATHROOM (ADHERENCE TO SANS 490) = (2 x 1L Refills @ R135,50/1L)","Deejoy Construction, Cleaning and Distribution","60% FOAM SOAP REFILL WITH PUMP IN A HYGIENICALLY SEALED PACKAGE FOR BATHROOM (ADHERENCE TO SANS 490) = (2 x 1L Refills @ R135,50/1L)",,2 x 1L Refills,1 Litre,24/02/2021,R311.65,24/02/2021,R312,312,311.65
7825,Public Works,"75% alcohol based hand sanitizer refill with pump in a hygienically sealed package on as and when required basis (adherence to SANS 490 = (10 x 1L Refills @ R135,50/1L)","Deejoy Construction, Cleaning and Distribution","75% alcohol based hand sanitizer refill with pump in a hygienically sealed package on as and when required basis (adherence to SANS 490 = (10 x 1L Refills @ R135,50/1L)",,10 x 1L Refills,1 Litre,24/02/2021,"R1,558.25",24/02/2021,"R1,558",1558,1558.25
7826,Public Works,"Face shield each@R89,90","Deejoy Construction, Cleaning and Distribution","Face shield each@R89,90",,20,Each,24/02/2021,"R2,067.70",24/02/2021,"R2,068",2068,2067.7
7835,Public Works,"OVERHEADS [Transports costs, Administrative Expense, Onsite inspection & Sundry expenses]","Deejoy Construction, Cleaning and Distribution","OVERHEADS [Transports costs, Administrative Expense, Onsite inspection & Sundry expenses]",,Monthly,Other UOM,24/02/2021,"R6,670.00",24/02/2021,"R6,670",6670,6670
7841,Mpumalanga - Health,PPE000 Other PPEs,RESPIRATORY CARE AFRICA,0,10,10,Each,24/02/2021,"R17,422.50",29/03/2021,"R17,423",17423,17422.5
7880,Western Cape - Education,PPE021 Sanitising of buildings,KATEMO GENERAL TRADING,0,256.6,1,Each,24/02/2021,R0.00,25/02/2021,R257,257,0
7890,Public Works,Toilet seat cleaner refill in a hygienically sealed package = (5 x Refills @ R135.50/refill),"Deejoy Construction, Cleaning and Distribution",Toilet seat cleaner refill in a hygienically sealed package = (5 x Refills @ R135.50/refill),,5 x Refils,Each,24/02/2021,R779.13,24/02/2021,R779,779,779.13
7893,Western Cape - Health,Infrastructure,BIDVEST OFFICE,0,"4,299.22",1,0,24/01/2020,"R4,299.22",19/03/2021,"R4,299",4299,4299.22
7894,Western Cape - Health,Other,BIDVEST OFFICE,Stationery,"4,299.22",1,0,24/01/2020,R0.00,16/04/2021,"R4,299",4299,0
7898,Western Cape - Health,Other,AC DISPOSABLE & CLEANING PRODUCTS,Cleaning Disposables,10.9,3000,EA,23/12/2020,"R32,700.00",21/01/2021,"R32,700",32700,32700
7899,Western Cape - Health,Other,DOEPA TRADING 36,Cleaning services,"36,700.00",1,EA,23/12/2020,"R36,700.00",13/01/2021,"R36,700",36700,36700
7907,Kwazulu Natal - Health,PPE015 Non-sterile examination gloves,PROMED TECHNOLOGIES (PTY) LTD,0,181.59,32500,Box of 100,23/12/2020,"R5,901,675.00",,R0,0,5901675
7983,Public Works,Other,Greystone Trading t/a Pronto Kleen,S&D medical disposal boxes incl. removal & replacement x4 times per month for 12 months,,10,Each,23/11/2020,"R33,600.00",,R0,0,33600
8008,Western Cape - Education,PPE021 Sanitising of buildings,CONNOR PEST CONTROL SERVICE,0,"2,675.00",1,0,23/11/2020,R0.00,12/11/2020,"R2,675",2675,0
8033,Western Cape - Health,Human resources-services,PPLE HEALTHCARE,0,989.38,21,0,23/10/2020,"R20,777.00",3/12/2021,"R20,777",20777,20777
8034,Western Cape - Health,Human resources-services,AMBITION 24 HOURS,0,914.01,4,0,23/10/2020,"R3,656.02",3/5/2021,"R3,656",3656,3656.02
8041,Western Cape - Health,Other,DRAGER SOUTH AFRICA,Asset,"121,995.75",2,0,23/10/2020,"R243,991.50",23/12/2020,"R243,992",243992,243991.5
8054,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,.,443.81,1,EA,23/10/2020,R443.81,20/01/2021,R444,444,443.81
8055,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,.,887.62,2,EA,23/10/2020,"R1,775.24",20/01/2021,"R1,775",1775,1775.24
8056,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,.,443.81,3,EA,23/10/2020,"R1,331.43",20/01/2021,"R1,331",1331,1331.43
8057,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,.,443.81,8,EA,23/10/2020,"R3,550.48",20/01/2021,"R3,550",3550,3550.48
8058,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,0,"1,331.43",1,0,23/10/2020,"R1,331.43",17/12/2020,"R1,331",1331,1331.43
8059,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,0,443.81,1,Each,23/10/2020,R443.81,25/06/2021,R444,444,443.81
8060,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,0,443.81,3,0,23/10/2020,"R1,331.43",17/12/2020,"R1,331",1331,1331.43
8061,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,0,887.62,3,Each,23/10/2020,"R2,662.86",25/06/2021,"R2,663",2663,2662.86
8062,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,0,443.81,4,0,23/10/2020,"R1,775.24",17/12/2020,"R1,775",1775,1775.24
8111,Western Cape - Health,Other,TOP N NOS,CLEANING,"7,007.82",2,0,23/09/2021,"R14,015.63",23/09/2021,"R14,016",14016,14015.63
8112,Western Cape - Health,Other,WP BLOOD TRANSFUSION SERVICE,INV MED:BLOOD-PRODUCT&PLA,0,0,0,23/09/2021,"R3,065.56",23/09/2021,"R3,066",3066,3065.56
8113,Western Cape - Health,Other,PC-CARD KNYSNA HOSPITAL,"INV MED:SYRINGES, NEEDLES",0,0,0,23/09/2021,"R1,045.10",23/09/2021,"R1,045",1045,1045.1
8114,Western Cape - Health,Other,PC-CARD VREDENBERG HOSPITAL,VENUES AND FACILITIES,0,0,0,23/09/2021,R400.00,23/09/2021,R400,400,400
8117,Mpumalanga - Health,PPE020 Hand sanitisers and disinfectants,GRACIOUS PROJECT,0,"4,042,825.00",1,0,23/09/2021,"R28,299,775.00",28/09/2021,"R4,042,825",4042825,28299775
8122,Western Cape - Education,PPE021 Sanitising of buildings,LEOVSA,0,5.01,344,per m2,23/09/2021,R0.00,30/09/2021,"R1,725",1725,0
8123,Western Cape - Health,Security,HELIOS SECURITY AND RISK MANAGEMENT,0,"207,563.49",1,0,23/09/2021,"R207,563.49",23/09/2021,"R207,563",207563,207563.49
8124,Western Cape - Health,Telecommunication,PC-CARD BREWELSKLOOF HOSPITAL,0,0,0,0,23/09/2021,"R1,200.00",23/09/2021,"R1,200",1200,1200
8125,Western Cape - Health,Telecommunication,PC-CARD LADISMITH HOSPITAL,0,0,0,0,23/09/2021,R925.00,23/09/2021,R925,925,925
8126,Western Cape - Health,Telecommunication,PC-CARD SOUTH CAPE REG OFFICE,0,0,0,0,23/09/2021,R699.00,23/09/2021,R699,699,699
8127,Gauteng - Health,"Bag oxygen/ventilator 22x4-3/4x11-1/2""",SSEM Mthembu Medical,0,"1,822.52",2,EA,23/09/2020,"R3,645.04",,R0,0,3645.04
8128,Gauteng - Health,Battery monitor trolley Biolight V6,ECOMED MEDICAL,0,"2,169.11",3,EA,23/09/2020,"R6,507.33",,R0,0,6507.33
8129,Gauteng - Health,Battery monitor trolley Biolight V6,ECOMED MEDICAL,0,"2,169.11",4,EA,23/09/2020,"R8,676.44",,R0,0,8676.44
8141,Gauteng - Health,Humidifier required ventilator Servo N,Maquet Southern Africa,0,884.41,20,EA,23/09/2020,"R17,688.20",,R0,0,17688.2
8142,Mpumalanga - Health,Infrastructure,GUJAGUJA,0,"206,208.00",1,0,23/09/2020,"R206,208.00",29/09/2020,"R206,208",206208,206208
8143,Mpumalanga - Health,Infrastructure,ROSPA TRADING,0,"2,351,355.15",1,Other UOM,23/09/2020,"R2,351,355.18",28/09/2020,"R2,351,355",2351355,2351355.18
8144,Gauteng - Health,Monitor NIBP/SPO2 trolley Biolight V6,ECOMED MEDICAL,0,"15,240.99",3,EA,23/09/2020,"R45,722.97",,R0,0,45722.97
8145,Gauteng - Health,Monitor NIBP/SPO2 trolley Biolight V6,ECOMED MEDICAL,0,"15,240.99",4,EA,23/09/2020,"R60,963.96",,R0,0,60963.96
